
 ,U1,U2,INV1,INV2,K1,K2,X1,X2,NPVTOT,NPVLAND,NPVOCEAN
T-1         ,1.4488991E+4,  0.00000000,  6.09179474, 24.55070691, 80.00000000,  0.00000000,8.2000000E+5,1.6400000E+6,  0.00000000,  0.00000000,  0.00000000
T-2         ,1.4859290E+4,402.63159258,  6.24651670, 23.88429943, 79.00917947,  2.45507069,8.1855110E+5,1.6400000E+6,  2.35292779,  2.95566500, -0.60273721
T-3         ,1.5179619E+4,782.23595045,  6.40517273, 23.29769209, 78.05364755,  4.76984851,8.1706517E+5,1.6399597E+6,  4.73486157,  5.82644250, -1.09158093
T-4         ,1.5458544E+4,1.1407872E+3,  6.56785646, 22.77792946, 77.13309188,  6.95652227,8.1554721E+5,1.6398815E+6,  7.13676501,  8.61981594, -1.48305093
T-5         ,1.5702730E+4,1.4799917E+3,  6.73467759, 22.31503355, 76.24721568,  9.02561954,8.1400136E+5,1.6397674E+6,  9.55177580, 11.34209036, -1.79031456
T-6         ,1.5917466E+4,1.8013440E+3,  6.90573082, 21.90116187, 75.39573913, 10.98635431,8.1243108E+5,1.6396194E+6, 11.97457197, 13.99864882, -2.02407684
T-7         ,1.6107007E+4,2.1061680E+3,  7.08112714, 21.53004427, 74.57839743, 12.84687987,8.1083934E+5,1.6394393E+6, 14.40095207, 16.59413756, -2.19318548
T-8         ,1.6274831E+4,2.3956471E+3,  7.26098071, 21.19659538, 73.79494220, 14.61447790,8.0922864E+5,1.6392287E+6, 16.82754718, 19.13260268, -2.30505550
T-9         ,1.6423807E+4,2.6708480E+3,  7.44539764, 20.89663986, 73.04514142, 16.29570310,8.0760115E+5,1.6389891E+6, 19.25161827, 21.61759409, -2.36597582
T-10        ,1.6556329E+4,2.9327382E+3,  7.63449737, 20.62671382, 72.32877836, 17.89649600,8.0595877E+5,1.6387220E+6, 21.67091026, 24.05224589, -2.38133563
T-11        ,1.6674410E+4,3.1822010E+3,  7.82841742, 20.38391793, 71.64565253, 19.42227250,8.0430314E+5,1.6384288E+6, 24.08354435, 26.43933952, -2.35579516
T-12        ,1.6779759E+4,3.4200465E+3,  8.02723866, 20.16580724, 70.99558058, 20.87799612,8.0263570E+5,1.6381105E+6, 26.48793728, 28.78135393, -2.29341665
T-13        ,1.6873833E+4,3.6470218E+3,  8.23112936, 19.97030688, 70.37839218, 22.26823696,8.0095772E+5,1.6377685E+6, 28.88274086, 31.08050743, -2.19776657
T-14        ,1.6735267E+4,3.8638179E+3,  8.42596719, 19.78570392, 69.79393661, 23.59722054,7.9927034E+5,1.6374038E+6, 31.26679342, 33.33878974, -2.07199632
T-15        ,1.6567838E+4,4.0709144E+3,  8.61016694, 19.60989186, 69.24065625, 24.86787431,7.9759681E+5,1.6370175E+6, 33.64222304, 35.55465407, -1.91243102
T-16        ,1.6408350E+4,4.2687425E+3,  8.78439485, 19.44244852, 68.71686067, 26.08282727,7.9594003E+5,1.6366104E+6, 36.00918797, 37.72940228, -1.72021431
T-17        ,1.6256357E+4,4.4577144E+3,  8.94926954, 19.28297169, 68.22096403, 27.24458730,7.9429919E+5,1.6361835E+6, 38.36746489, 39.86481184, -1.49734695
T-18        ,1.6111440E+4,4.6382237E+3,  9.10536568, 19.13107834, 67.75147160, 28.35554685,7.9267356E+5,1.6357377E+6, 40.71685645, 41.96256792, -1.24571147
